,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:48620 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.018329859,2022-05-28 14:23:09.379901886+02:00,2022-05-28 14:23:09.398231745+02:00,2022-05-28 14:23:09.379901886+02:00,2022-05-28 14:23:09.398231745+02:00,2022-05-28 14:23:09.379948139+02:00,2022-05-28 14:23:09.398205996+02:00,0 days 00:00:00.018329859,0 days 00:00:00.018257857,48620,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:09.374"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:48622 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.009633303,2022-05-28 14:23:09.469681501+02:00,2022-05-28 14:23:09.479314804+02:00,2022-05-28 14:23:09.469681501+02:00,2022-05-28 14:23:09.479314804+02:00,2022-05-28 14:23:09.469721317+02:00,2022-05-28 14:23:09.479288578+02:00,0 days 00:00:00.009633303,0 days 00:00:00.009567261,48622,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T12:23Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
2,TCP 127.0.0.1:48626 > 127.0.0.1:80,875,1208,2083,0 days 00:00:00.010774374,2022-05-28 14:23:09.846593142+02:00,2022-05-28 14:23:09.857367516+02:00,2022-05-28 14:23:09.846593142+02:00,2022-05-28 14:23:09.857367516+02:00,2022-05-28 14:23:09.846635103+02:00,2022-05-28 14:23:09.857340813+02:00,0 days 00:00:00.010774374,0 days 00:00:00.010705710,48626,2.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:09.839"", ""temperature"": 2343}, ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",
3,TCP 127.0.0.1:48628 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027049064,2022-05-28 14:23:12.887587786+02:00,2022-05-28 14:23:12.914636850+02:00,2022-05-28 14:23:12.887587786+02:00,2022-05-28 14:23:12.914636850+02:00,2022-05-28 14:23:12.887669325+02:00,2022-05-28 14:23:12.914599419+02:00,0 days 00:00:00.027049064,0 days 00:00:00.026930094,48628,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:12.879"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.5076859
4,TCP 127.0.0.1:48630 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.014140129,2022-05-28 14:23:14.777293921+02:00,2022-05-28 14:23:14.791434050+02:00,2022-05-28 14:23:14.777293921+02:00,2022-05-28 14:23:14.791434050+02:00,2022-05-28 14:23:14.777346373+02:00,2022-05-28 14:23:14.791383982+02:00,0 days 00:00:00.014140129,0 days 00:00:00.014037609,48630,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T12:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",1.889706135
5,TCP 127.0.0.1:48632 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029747486,2022-05-28 14:23:16.386708498+02:00,2022-05-28 14:23:16.416455984+02:00,2022-05-28 14:23:16.386708498+02:00,2022-05-28 14:23:16.416455984+02:00,2022-05-28 14:23:16.386760950+02:00,2022-05-28 14:23:16.416412592+02:00,0 days 00:00:00.029747486,0 days 00:00:00.029651642,48632,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:16.378"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.609414577
6,TCP 127.0.0.1:48634 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026337862,2022-05-28 14:23:19.880433083+02:00,2022-05-28 14:23:19.906770945+02:00,2022-05-28 14:23:19.880433083+02:00,2022-05-28 14:23:19.906770945+02:00,2022-05-28 14:23:19.880478621+02:00,2022-05-28 14:23:19.906742334+02:00,0 days 00:00:00.026337862,0 days 00:00:00.026263713,48634,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:19.872"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.493724585
7,TCP 127.0.0.1:48638 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.014226437,2022-05-28 14:23:20.745515108+02:00,2022-05-28 14:23:20.759741545+02:00,2022-05-28 14:23:20.745515108+02:00,2022-05-28 14:23:20.759741545+02:00,2022-05-28 14:23:20.745571136+02:00,2022-05-28 14:23:20.759701729+02:00,0 days 00:00:00.014226437,0 days 00:00:00.014130593,48638,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T12:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",10.898921966
8,TCP 127.0.0.1:48640 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.014496565,2022-05-28 14:23:20.766609192+02:00,2022-05-28 14:23:20.781105757+02:00,2022-05-28 14:23:20.766609192+02:00,2022-05-28 14:23:20.781105757+02:00,2022-05-28 14:23:20.766662836+02:00,2022-05-28 14:23:20.781056166+02:00,0 days 00:00:00.014496565,0 days 00:00:00.014393330,48640,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T12:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.021094084
9,TCP 127.0.0.1:48642 > 127.0.0.1:80,1080,1208,2288,0 days 00:00:00.012859345,2022-05-28 14:23:22.289841413+02:00,2022-05-28 14:23:22.302700758+02:00,2022-05-28 14:23:22.289841413+02:00,2022-05-28 14:23:22.302700758+02:00,2022-05-28 14:23:22.289891720+02:00,2022-05-28 14:23:22.302660704+02:00,0 days 00:00:00.012859345,0 days 00:00:00.012768984,48642,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""4"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T12:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Consumption 4"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAConsumption"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}, ""e"": ""changed"", ""id"": ""4"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}}",2.40940833
10,TCP 127.0.0.1:48644 > 127.0.0.1:80,1068,1208,2276,0 days 00:00:00.012960196,2022-05-28 14:23:22.310751915+02:00,2022-05-28 14:23:22.323712111+02:00,2022-05-28 14:23:22.310751915+02:00,2022-05-28 14:23:22.323712111+02:00,2022-05-28 14:23:22.310806274+02:00,2022-05-28 14:23:22.323674679+02:00,0 days 00:00:00.012960196,0 days 00:00:00.012868405,48644,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""5"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T12:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Power 5"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAPower"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}, ""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.020910502
11,TCP 127.0.0.1:48646 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028158426,2022-05-28 14:23:23.381730318+02:00,2022-05-28 14:23:23.409888744+02:00,2022-05-28 14:23:23.381730318+02:00,2022-05-28 14:23:23.409888744+02:00,2022-05-28 14:23:23.381788969+02:00,2022-05-28 14:23:23.409848452+02:00,0 days 00:00:00.028158426,0 days 00:00:00.028059483,48646,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:23.373"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.070978403
12,TCP 127.0.0.1:48648 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029220104,2022-05-28 14:23:26.885574818+02:00,2022-05-28 14:23:26.914794922+02:00,2022-05-28 14:23:26.885574818+02:00,2022-05-28 14:23:26.914794922+02:00,2022-05-28 14:23:26.885653734+02:00,2022-05-28 14:23:26.914747953+02:00,0 days 00:00:00.029220104,0 days 00:00:00.029094219,48648,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:26.877"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.5038445
13,TCP 127.0.0.1:48652 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.019599676,2022-05-28 14:23:30.380724430+02:00,2022-05-28 14:23:30.400324106+02:00,2022-05-28 14:23:30.380724430+02:00,2022-05-28 14:23:30.400324106+02:00,2022-05-28 14:23:30.380764484+02:00,2022-05-28 14:23:30.400297880+02:00,0 days 00:00:00.019599676,0 days 00:00:00.019533396,48652,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:30.375"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.495149612
14,TCP 127.0.0.1:48654 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029029846,2022-05-28 14:23:33.282256603+02:00,2022-05-28 14:23:33.311286449+02:00,2022-05-28 14:23:33.282256603+02:00,2022-05-28 14:23:33.311286449+02:00,2022-05-28 14:23:33.282309294+02:00,2022-05-28 14:23:33.311245918+02:00,0 days 00:00:00.029029846,0 days 00:00:00.028936624,48654,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T12:23:33.273"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.901532173
